股票代码,公司名称,货币资金,应收账款,存货,总资产,总资产同比,应付账款,预收账款,总负债,资产负债率,股东权益合计,公告日期
688787,海天瑞声,2.62,0.76,0.12,8.39,72.01%,0.13,0.0,0.24,2.81%,8.15,2022-05-31
002255,海陆重工,4.77,8.93,11.32,52.47,8.26%,3.98,0.0,21.6,41.16%,30.87,2022-05-31
603037,凯众股份,1.42,1.54,1.18,9.92,1.32%,0.6,0.0,1.1,11.08%,8.82,2022-05-28
600647,同达创业,2.94,0.0,0.35,3.89,-22.87%,0.01,0.18,0.42,10.81%,3.47,2022-05-28
688260,昀冢科技,0.6,1.88,1.02,10.0,7.32%,1.12,0.0,4.98,49.80%,5.02,2022-05-25
605555,德昌股份,12.8,7.03,3.59,36.48,0.00%,4.97,0.0,12.97,35.55%,23.52,2022-05-25
603696,安记食品,0.83,0.15,0.36,6.25,0.33%,0.07,0.0,0.73,11.76%,5.51,2022-05-25
603150,万朗磁塑,4.8,4.65,1.62,22.37,0.00%,2.55,0.0,9.8,43.80%,12.58,2022-05-25
603009,北特科技,0.71,4.59,5.01,31.22,-5.46%,3.38,0.0,14.88,47.65%,16.34,2022-05-25
688287,观典防务,3.61,0.86,0.37,9.46,3.26%,0.03,0.0,0.16,1.69%,9.3,2022-05-24
603166,福达股份,4.08,3.3,4.0,37.19,6.69%,1.2,0.0,10.51,28.27%,26.68,2022-05-24
002265,西仪股份,0.64,2.42,1.98,13.59,0.93%,2.04,0.0,4.81,35.36%,8.79,2022-05-24
002282,博深股份,3.81,4.04,5.06,38.41,-1.94%,1.58,0.04,4.31,11.22%,34.1,2022-05-21
688711,宏微科技,4.26,1.32,2.04,12.64,156.76%,1.34,0.0,3.75,29.70%,8.89,2022-05-20
688277,天智航,2.49,0.15,0.46,12.42,4.16%,0.14,0.02,2.04,16.44%,10.38,2022-05-20
688213,思特威,7.72,3.64,18.66,49.66,73.67%,4.43,0.0,23.21,46.74%,26.45,2022-05-19
603272,联翔股份,0.99,0.03,0.63,4.22,0.00%,0.27,0.0,0.76,17.98%,3.46,2022-05-19
001318,阳光乳业,3.18,0.24,0.47,7.42,0.00%,0.35,0.0,1.55,20.90%,5.87,2022-05-19
002978,安宁股份,21.08,0.06,0.73,59.25,16.14%,0.97,0.0,7.65,12.91%,51.6,2022-05-18
301153,中科江南,3.71,1.76,0.4,11.15,23.26%,0.85,0.0,5.57,49.93%,5.58,2022-05-17
301257,普蕊斯,1.11,0.63,0.0,3.96,32.70%,0.08,0.0,1.57,39.71%,2.39,2022-05-16
688235,百济神州,251.53,12.1,15.58,509.46,33.18%,17.5,0.0,134.83,26.46%,374.63,2022-05-14
688981,中芯国际,806.0,49.2,83.72,2381.06,17.74%,33.12,1.02,708.15,29.74%,1672.91,2022-05-13
600679,上海凤凰,7.02,3.73,1.92,33.84,10.03%,1.44,0.02,8.78,25.95%,25.06,2022-05-12
603097,江苏华辰,0.54,3.61,1.78,9.15,0.00%,0.99,0.0,3.81,41.67%,5.34,2022-05-11
301183,东田微,0.18,1.52,0.69,6.76,0.00%,1.19,0.0,2.42,35.73%,4.34,2022-05-11
301107,瑜欣电子,0.89,1.28,1.57,7.24,24.15%,1.13,0.01,2.95,40.69%,4.29,2022-05-11
001319,铭科精技,0.84,2.6,2.14,10.69,0.00%,1.71,0.0,3.75,35.12%,6.93,2022-05-11
002291,星期六,17.94,11.77,8.77,71.79,27.06%,2.75,0.0,14.69,20.46%,57.11,2022-05-10
688045,必易微,1.09,0.77,1.44,6.2,0.00%,0.64,0.0,1.36,22.01%,4.83,2022-05-09
688270,臻镭科技,17.24,1.43,0.38,20.52,399.86%,0.1,0.0,0.48,2.35%,20.04,2022-05-06
603878,武进不锈,5.13,6.08,9.52,36.83,7.81%,4.32,0.0,11.77,31.97%,25.05,2022-05-06
